Feast, Rank, Weekday, Date
Circumcisio Domini et Oct Nativitatis, d2, Friday, 2021-01-01 00:00:00
Octava S Stephani Protomartyris, sp, Saturday, 2021-01-02 00:00:00
Octava S Joannis Ap & Ev, sp, Sunday, 2021-01-03 00:00:00
Octava Ss Innocentium Mm, sp, Monday, 2021-01-04 00:00:00
SS Nominis Jesu, d2, Sunday, 2021-01-03 00:00:00
Dominica in Septuagesima, sd2, Sunday, 2021-01-31 00:00:00
Dominica in Sexagesima, sd2, Sunday, 2021-02-07 00:00:00
Dominica in Quinquagesima, sd2, Sunday, 2021-02-14 00:00:00
De die II infra Oct Epiphaniæ, sd, Thursday, 2021-01-07 00:00:00
De die III infra Oct Epiphaniæ, sd, Friday, 2021-01-08 00:00:00
De die IV infra Oct Epiphaniæ, sd, Saturday, 2021-01-09 00:00:00
De die VI infra Oct Epiphaniæ, sd, Monday, 2021-01-11 00:00:00
De die VII infra Oct Epiphaniæ, sd, Tuesday, 2021-01-12 00:00:00
S Familiæ Jesu Mariæ et Joseph; Dominica I post Epiphaniam, dm, Sunday, 2021-01-10 00:00:00
Dominica II post Epiphaniam, sp, Sunday, 2021-01-17 00:00:00
Dominica III post Epiphaniam, sp, Sunday, 2021-01-24 00:00:00
Dies Cinerum, sp, Wednesday, 2021-02-17 00:00:00
Feria V post Diem Cinerum, sp, Wednesday, 2021-02-17 00:00:00
Feria VI post Diem Cinerum, sp, Wednesday, 2021-02-17 00:00:00
Sabbato post Diem Cinerum, sp, Wednesday, 2021-02-17 00:00:00
Dominica I in Quadragesima, sd1, Sunday, 2021-02-21 00:00:00
Feria II infra Hebd I in Quadragesima, sp, Monday, 2021-02-22 00:00:00
Feria III infra Hebd I in Quadragesima, sp, Tuesday, 2021-02-23 00:00:00
Feria IV Quattuor Temporum Quadragesimæ, sp, Wednesday, 2021-02-24 00:00:00
Feria V infra Hebd I in Quadragesima, sp, Thursday, 2021-02-25 00:00:00
Feria VI Quattuor Temporum Quadragesimæ, sp, Friday, 2021-02-26 00:00:00
Sabbato Quattuor Temporum Quadragesimæ, sp, Saturday, 2021-02-27 00:00:00
Dominica II in Quadragesima, sd1, Sunday, 2021-02-28 00:00:00
Feria II infra Hebd II in Quadragesima, sp, Monday, 2021-03-01 00:00:00
Feria III infra Hebd II in Quadragesima, sp, Tuesday, 2021-03-02 00:00:00
Feria IV infra Hebd II in Quadragesima, sp, Wednesday, 2021-03-03 00:00:00
Feria V infra Hebd II in Quadragesima, sp, Thursday, 2021-03-04 00:00:00
Feria VI infra Hebd II in Quadragesima, sp, Friday, 2021-03-05 00:00:00
Sabbato infra Hebd II in Quadragesima, sp, Saturday, 2021-03-06 00:00:00
Dominica III in Quadragesima, sd1, Sunday, 2021-03-07 00:00:00
Feria II infra Hebd III in Quadragesima, sp, Monday, 2021-03-08 00:00:00
Feria III infra Hebd III in Quadragesima, sp, Tuesday, 2021-03-09 00:00:00
Feria IV infra Hebd III in Quadragesima, sp, Wednesday, 2021-03-10 00:00:00
Feria V infra Hebd III in Quadragesima, sp, Thursday, 2021-03-11 00:00:00
Feria VI infra Hebd III in Quadragesima, sp, Friday, 2021-03-12 00:00:00
Sabbato infra Hebd III in Quadragesima, sp, Saturday, 2021-03-13 00:00:00
Dominica IV in Quadragesima, sd1, Sunday, 2021-03-14 00:00:00
Feria II infra Hebd IV in Quadragesima, sp, Monday, 2021-03-15 00:00:00
Feria III infra Hebd IV in Quadragesima, sp, Tuesday, 2021-03-16 00:00:00
Feria IV infra Hebd IV in Quadragesima, sp, Wednesday, 2021-03-17 00:00:00
Feria V infra Hebd IV in Quadragesima, sp, Thursday, 2021-03-18 00:00:00
Feria VI infra Hebd IV in Quadragesima, sp, Friday, 2021-03-19 00:00:00
Sabbato infra Hebd IV in Quadragesima, sp, Saturday, 2021-03-20 00:00:00
Dominica de Passione, sd1, Sunday, 2021-03-21 00:00:00
Feria II infra Hebd de Passione, sp, Monday, 2021-03-22 00:00:00
Feria III infra Hebd de Passione, sp, Tuesday, 2021-03-23 00:00:00
Feria IV infra Hebd de Passione, sp, Wednesday, 2021-03-24 00:00:00
Feria V infra Hebd de Passione, sp, Thursday, 2021-03-25 00:00:00
Septem Dolorum BMV, dm, Friday, 2021-03-26 00:00:00
Sabbato infra Hebd de Passione, sp, Saturday, 2021-03-27 00:00:00
Dominica in Palmis, sd1, Sunday, 2021-03-28 00:00:00
Feria II Majoris Hebd; Feria Priv, sp, Monday, 2021-03-29 00:00:00
Feria III Majoris Hebd; Feria Priv, sp, Tuesday, 2021-03-30 00:00:00
Feria IV Majoris Hebd; Feria Priv, sp, Wednesday, 2021-03-31 00:00:00
Feria V in Cœna Domini, d1, Thursday, 2021-04-01 00:00:00
Feria VI in Parasceve, d1, Friday, 2021-04-02 00:00:00
Sabbatum Sanctum, d1, Saturday, 2021-04-03 00:00:00
Dominica Resurrectionis, d1, Sunday, 2021-04-04 00:00:00
Feria II Paschatis, d1, Monday, 2021-04-05 00:00:00
Feria III Paschatis, d1, Tuesday, 2021-04-06 00:00:00
De die IV infra Oct Paschæ, sd, Wednesday, 2021-04-07 00:00:00
Dominica in Albis, sd, Sunday, 2021-04-11 00:00:00
Dominica II post Pascha, sd, Sunday, 2021-04-18 00:00:00
Dominica III post Pascha, sd, Sunday, 2021-04-25 00:00:00
Dominica IV post Pascha, sd, Sunday, 2021-05-02 00:00:00
Dominica V post Pascha, sd, Sunday, 2021-05-09 00:00:00
Dominica infra Octavam Ascensionis, sd, Sunday, 2021-05-16 00:00:00
Dominica Pentecostes, d1, Sunday, 2021-05-23 00:00:00
Feria IV Quattuor infra Temporum Pentecostes, d1, Wednesday, 2021-05-26 00:00:00
Feria VI Quattuor infra Temporum Pentecostes, d1, Friday, 2021-05-28 00:00:00
Sabbato Quattuor infra Temporum Pentecostes, d1, Saturday, 2021-05-29 00:00:00
Dominica Sanctissimæ Trinitatis, d1, Sunday, 2021-05-30 00:00:00
Sanctissimi Corporis Christi, d1, Thursday, 2021-06-03 00:00:00
Dominica II post Pentecosten infra Octavam Corporis Christi, sd, Sunday, 2021-06-06 00:00:00
Sacratissimi Cordis Jesu, d1, Friday, 2021-06-11 00:00:00
Dominica III post Pentecosten infra Octavam SSmi Cordis DNJC, sd, Sunday, 2021-06-13 00:00:00
Dominica IV post Pentecosten, sd, Sunday, 2021-06-20 00:00:00
Dominica V post Pentecosten, sd, Sunday, 2021-06-27 00:00:00
Dominica VI post Pentecosten, sd, Sunday, 2021-07-04 00:00:00
Dominica VII post Pentecosten, sd, Sunday, 2021-07-11 00:00:00
Dominica VIII post Pentecosten, sd, Sunday, 2021-07-18 00:00:00
Dominica IX post Pentecosten, sd, Sunday, 2021-07-25 00:00:00
Dominica X post Pentecosten, sd, Sunday, 2021-08-01 00:00:00
Dominica XI post Pentecosten, sd, Sunday, 2021-08-08 00:00:00
Dominica XII post Pentecosten, sd, Sunday, 2021-08-15 00:00:00
Dominica XIII post Pentecosten, sd, Sunday, 2021-08-22 00:00:00
Dominica XIV post Pentecosten, sd, Sunday, 2021-08-29 00:00:00
Dominica XV post Pentecosten, sd, Sunday, 2021-09-05 00:00:00
Dominica XVI post Pentecosten, sd, Sunday, 2021-09-12 00:00:00
Feria IV Quattuor Temporum Septembris, sd, Wednesday, 2021-09-15 00:00:00
Feria VI Quattuor Temporum Septembris, sd, Friday, 2021-09-17 00:00:00
Sabbato Quattuor Temporum Septembris, sd, Saturday, 2021-09-18 00:00:00
Dominica XVII post Pentecosten, sd, Sunday, 2021-09-19 00:00:00
Dominica XVIII post Pentecosten, sd, Sunday, 2021-09-26 00:00:00
Dominica XIX post Pentecosten, sd, Sunday, 2021-10-03 00:00:00
Dominica XX post Pentecosten, sd, Sunday, 2021-10-10 00:00:00
Dominica XXI post Pentecosten, sd, Sunday, 2021-10-17 00:00:00
Dominica XXII post Pentecosten, sd, Sunday, 2021-10-24 00:00:00
Dominica XXIII post Pentecosten, sd, Sunday, 2021-10-31 00:00:00
Dominica XXIV post Pentecosten, sd, Sunday, 2021-11-07 00:00:00
Dominica XXV post Pentecosten, sd, Sunday, 2021-11-14 00:00:00
Dominica XXVI post Pentecosten, sd, Sunday, 2021-11-21 00:00:00
Dominica XXVII post Pentecosten, sd, Sunday, 2021-11-28 00:00:00
Dominica IV Adventus, sd2, Sunday, 2021-12-19 00:00:00
Dominica III Adventus, sd2, Sunday, 2021-12-12 00:00:00
Feria IV Quattuor Temporum in Adventu, sp, Wednesday, 2021-12-15 00:00:00
Feria VI Quattuor Temporum in Adventu, sp, Friday, 2021-12-17 00:00:00
Sabbato Quattuor Temporum in Adventu, sp, Saturday, 2021-12-18 00:00:00
Dominica II Adventus, sd2, Sunday, 2021-12-05 00:00:00
Dominica I Adventus, sd2, Sunday, 2021-11-28 00:00:00
Nativitas DNJC, d1, Saturday, 2021-12-25 00:00:00
Dominica Infra Octavam Nativitatis reposit, sd, Thursday, 2021-12-30 00:00:00
S Stephani Protomartyris, d2, Sunday, 2021-12-26 00:00:00
S Joannis Ap & Ev, d2, Monday, 2021-12-27 00:00:00
Ss Innocentium Mm, d2, Tuesday, 2021-12-28 00:00:00
S Thomas EM, d, Wednesday, 2021-12-29 00:00:00
S Sylvestri I PC, d, Friday, 2021-12-31 00:00:00
