Feast, Rank, Weekday, Date
Circumcisio Domini et Oct Nativitatis, d2, Monday, 2925-01-01 00:00:00
Octava S Stephani Protomartyris, sp, Tuesday, 2925-01-02 00:00:00
Octava S Joannis Ap & Ev, sp, Wednesday, 2925-01-03 00:00:00
Octava Ss Innocentium Mm, sp, Thursday, 2925-01-04 00:00:00
SS Nominis Jesu, d2, Tuesday, 2925-01-02 00:00:00
Dominica in Septuagesima, sd2, Sunday, 2925-01-28 00:00:00
Dominica in Sexagesima, sd2, Sunday, 2925-02-04 00:00:00
Dominica in Quinquagesima, sd2, Sunday, 2925-02-11 00:00:00
De die III infra Oct Epiphaniæ, sd, Monday, 2925-01-08 00:00:00
De die IV infra Oct Epiphaniæ, sd, Tuesday, 2925-01-09 00:00:00
De die V infra Oct Epiphaniæ, sd, Wednesday, 2925-01-10 00:00:00
De die VI infra Oct Epiphaniæ, sd, Thursday, 2925-01-11 00:00:00
De die VII infra Oct Epiphaniæ, sd, Friday, 2925-01-12 00:00:00
S Familiæ Jesu Mariæ et Joseph; Dominica I post Epiphaniam, dm, Sunday, 2925-01-07 00:00:00
Dominica II post Epiphaniam, sp, Sunday, 2925-01-14 00:00:00
Dominica III post Epiphaniam, sp, Sunday, 2925-01-21 00:00:00
Dies Cinerum, sp, Wednesday, 2925-02-14 00:00:00
Feria V post Diem Cinerum, sp, Wednesday, 2925-02-14 00:00:00
Feria VI post Diem Cinerum, sp, Wednesday, 2925-02-14 00:00:00
Sabbato post Diem Cinerum, sp, Wednesday, 2925-02-14 00:00:00
Dominica I in Quadragesima, sd1, Sunday, 2925-02-18 00:00:00
Feria II infra Hebd I in Quadragesima, sp, Monday, 2925-02-19 00:00:00
Feria III infra Hebd I in Quadragesima, sp, Tuesday, 2925-02-20 00:00:00
Feria IV Quattuor Temporum Quadragesimæ, sp, Wednesday, 2925-02-21 00:00:00
Feria V infra Hebd I in Quadragesima, sp, Thursday, 2925-02-22 00:00:00
Feria VI Quattuor Temporum Quadragesimæ, sp, Friday, 2925-02-23 00:00:00
Sabbato Quattuor Temporum Quadragesimæ, sp, Saturday, 2925-02-24 00:00:00
Dominica II in Quadragesima, sd1, Sunday, 2925-02-25 00:00:00
Feria II infra Hebd II in Quadragesima, sp, Monday, 2925-02-26 00:00:00
Feria III infra Hebd II in Quadragesima, sp, Tuesday, 2925-02-27 00:00:00
Feria IV infra Hebd II in Quadragesima, sp, Wednesday, 2925-02-28 00:00:00
Feria V infra Hebd II in Quadragesima, sp, Thursday, 2925-03-01 00:00:00
Feria VI infra Hebd II in Quadragesima, sp, Friday, 2925-03-02 00:00:00
Sabbato infra Hebd II in Quadragesima, sp, Saturday, 2925-03-03 00:00:00
Dominica III in Quadragesima, sd1, Sunday, 2925-03-04 00:00:00
Feria II infra Hebd III in Quadragesima, sp, Monday, 2925-03-05 00:00:00
Feria III infra Hebd III in Quadragesima, sp, Tuesday, 2925-03-06 00:00:00
Feria IV infra Hebd III in Quadragesima, sp, Wednesday, 2925-03-07 00:00:00
Feria V infra Hebd III in Quadragesima, sp, Thursday, 2925-03-08 00:00:00
Feria VI infra Hebd III in Quadragesima, sp, Friday, 2925-03-09 00:00:00
Sabbato infra Hebd III in Quadragesima, sp, Saturday, 2925-03-10 00:00:00
Dominica IV in Quadragesima, sd1, Sunday, 2925-03-11 00:00:00
Feria II infra Hebd IV in Quadragesima, sp, Monday, 2925-03-12 00:00:00
Feria III infra Hebd IV in Quadragesima, sp, Tuesday, 2925-03-13 00:00:00
Feria IV infra Hebd IV in Quadragesima, sp, Wednesday, 2925-03-14 00:00:00
Feria V infra Hebd IV in Quadragesima, sp, Thursday, 2925-03-15 00:00:00
Feria VI infra Hebd IV in Quadragesima, sp, Friday, 2925-03-16 00:00:00
Sabbato infra Hebd IV in Quadragesima, sp, Saturday, 2925-03-17 00:00:00
Dominica de Passione, sd1, Sunday, 2925-03-18 00:00:00
Feria II infra Hebd de Passione, sp, Monday, 2925-03-19 00:00:00
Feria III infra Hebd de Passione, sp, Tuesday, 2925-03-20 00:00:00
Feria IV infra Hebd de Passione, sp, Wednesday, 2925-03-21 00:00:00
Feria V infra Hebd de Passione, sp, Thursday, 2925-03-22 00:00:00
Septem Dolorum BMV, dm, Friday, 2925-03-23 00:00:00
Sabbato infra Hebd de Passione, sp, Saturday, 2925-03-24 00:00:00
Dominica in Palmis, sd1, Sunday, 2925-03-25 00:00:00
Feria II Majoris Hebd; Feria Priv, sp, Monday, 2925-03-26 00:00:00
Feria III Majoris Hebd; Feria Priv, sp, Tuesday, 2925-03-27 00:00:00
Feria IV Majoris Hebd; Feria Priv, sp, Wednesday, 2925-03-28 00:00:00
Feria V in Cœna Domini, d1, Thursday, 2925-03-29 00:00:00
Feria VI in Parasceve, d1, Friday, 2925-03-30 00:00:00
Sabbatum Sanctum, d1, Saturday, 2925-03-31 00:00:00
Dominica Resurrectionis, d1, Sunday, 2925-04-01 00:00:00
Feria II Paschatis, d1, Monday, 2925-04-02 00:00:00
Feria III Paschatis, d1, Tuesday, 2925-04-03 00:00:00
De die IV infra Oct Paschæ, sd, Wednesday, 2925-04-04 00:00:00
De die V infra Oct Paschæ, sd, Thursday, 2925-04-05 00:00:00
De die VI infra Oct Paschæ, sd, Friday, 2925-04-06 00:00:00
Sabbatum in Albis, sd, Saturday, 2925-04-07 00:00:00
Dominica in Albis, sd, Sunday, 2925-04-08 00:00:00
Solemnitas S Joseph, Sponsi BMV C et Ecclesiæ Universalis Patroni, d1, Wednesday, 2925-04-18 00:00:00
Octava Solemnitas S Joseph, dm, Wednesday, 2925-04-25 00:00:00
Dominica II post Pascha, sd, Sunday, 2925-04-15 00:00:00
Dominica III post Pascha, sd, Sunday, 2925-04-22 00:00:00
Dominica IV post Pascha, sd, Sunday, 2925-04-29 00:00:00
Litaniæ Minores, sp, Monday, 2925-05-07 00:00:00
Litaniæ Minores, sp, Tuesday, 2925-05-08 00:00:00
Litaniæ Minores, sp, Wednesday, 2925-05-09 00:00:00
Vigilæ Ascensionis, sp, Wednesday, 2925-05-09 00:00:00
Ascensio DNJC, d1, Thursday, 2925-05-10 00:00:00
Dominica V post Pascha, sd, Sunday, 2925-05-06 00:00:00
De II die infra Oct Ascensionis, sd, Saturday, 2925-05-12 00:00:00
De IV die infra Oct Ascensionis, sd, Monday, 2925-05-14 00:00:00
De V die infra Oct Ascensionis, sd, Tuesday, 2925-05-15 00:00:00
De VI die infra Oct Ascensionis, sd, Wednesday, 2925-05-16 00:00:00
Dominica infra Octavam Ascensionis, sd, Sunday, 2925-05-13 00:00:00
Vigilia Pentecostes, sd, Saturday, 2925-05-19 00:00:00
